sku,color,size,price,description
18,blue,XS,170.57,"Mono Athletics long-sleeve tee made from softshell (polyester + elastane) (140 GSM), tapered silhouette. Key features: fully waterproof shell (10,000 mm), windproof membrane, elasticated cuffs and hem. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
19,crimson,S,62.75,"Urban Supply long-sleeve tee made from cotton-polyester blend (60/40) (140 GSM), slim fit. Key features: hidden zip pocket, quick-dry fabric, high breathability (8,000 g/m²/24h). Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
20,white,XXL,248.83,"Nimbus Apparel lightweight jacket made from cotton-polyester blend (60/40) (160 GSM), athletic fit. Key features: reflective detailing for visibility, elasticated cuffs and hem, anti-odor treatment. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
21,mustard,XS,245.62,"Harbor Collective pullover made from nylon ripstop (160 GSM), tapered silhouette. Key features: recycled trims and labels, reflective detailing for visibility, UPF 50+ sun protection. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
22,white,XL,188.22,"Aurora Outfitters t-shirt made from 100% cotton jersey (220 GSM), oversized cut. Key features: reflective detailing for visibility, packable design fits into pocket, reinforced shoulder panels. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
23,navy,S,34.76,"Vertex Threads long-sleeve tee made from organic cotton (200 GSM), oversized cut. Key features: quick-dry fabric, reinforced shoulder panels, fully waterproof shell (10,000 mm). Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
24,pink,XL,149.0,"Quartz Co. lightweight jacket made from rayon-modal mix (240 GSM), tapered silhouette. Key features: flatlock seams to reduce chafing, quick-dry fabric, moisture-wicking knit. Designed for trail running. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
25,magenta,M,124.16,"Vertex Wear polo shirt made from hemp-cotton blend (180 GSM), oversized cut. Key features: windproof membrane, high breathability (8,000 g/m²/24h), recycled trims and labels. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
26,royal blue,M,221.6,"Solace Outfitters pullover made from cotton-polyester blend (60/40) (180 GSM), athletic fit. Key features: recycled trims and labels, brushed interior for warmth, packable design fits into pocket. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
27,pink,XS,234.95,"Cinder Co. hoodie made from organic cotton (160 GSM), tapered silhouette. Key features: recycled trims and labels, UPF 50+ sun protection, moisture-wicking knit. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
28,beige,M,65.83,"Harbor Studio polo shirt made from merino wool (18.5 microns) (180 GSM), regular fit. Key features: high breathability (8,000 g/m²/24h), drop-tail hem for cycling, moisture-wicking knit. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
29,brown,S,165.54,"Harbor Supply windbreaker made from softshell (polyester + elastane) (240 GSM), oversized cut. Key features: drop-tail hem for cycling, recycled trims and labels, water-repellent DWR finish (PFC-free). Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
30,silver,S,144.49,"Mono Labs quarter-zip made from cotton-polyester blend (60/40) (180 GSM), athletic fit. Key features: UPF 50+ sun protection, fully waterproof shell (10,000 mm), brushed interior for warmth. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
31,red,XXL,76.39,"Atlas Outfitters quarter-zip made from nylon ripstop (140 GSM), oversized cut. Key features: UPF 50+ sun protection, quick-dry fabric, 4-way stretch. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
32,sky blue,XXL,231.63,"Polar Threads pullover made from cotton-polyester blend (60/40) (160 GSM), tapered silhouette. Key features: windproof membrane, YKK zipper, fully waterproof shell (10,000 mm). Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
33,gray,L,99.42,"Solace Threads t-shirt made from rayon-modal mix (180 GSM), relaxed fit. Key features: YKK zipper, flatlock seams to reduce chafing, moisture-wicking knit. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
34,magenta,XL,110.93,"Summit Outfitters t-shirt made from organic cotton (220 GSM), slim fit. Key features: 4-way stretch, reinforced shoulder panels, moisture-wicking knit. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
35,olive,M,186.57,"Quartz Athletics base layer top made from bamboo viscose blend (240 GSM), regular fit. Key features: YKK zipper, reinforced shoulder panels, anti-odor treatment. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
36,olive,XS,138.58,"Summit Threads sweatshirt made from nylon ripstop (220 GSM), regular fit. Key features: flatlock seams to reduce chafing, elasticated cuffs and hem, windproof membrane. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
37,orange,XXL,112.93,"Vivid Co. quarter-zip made from cotton-polyester blend (60/40) (180 GSM), relaxed fit. Key features: drop-tail hem for cycling, YKK zipper, 4-way stretch. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
38,mustard,XL,210.76,"Falcon Co. lightweight jacket made from nylon ripstop (240 GSM), oversized cut. Key features: elasticated cuffs and hem, flatlock seams to reduce chafing, hidden zip pocket. Designed for layering under a jacket. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
39,red,XL,127.83,"Echo Apparel pullover made from bamboo viscose blend (160 GSM), tapered silhouette. Key features: elasticated cuffs and hem, flatlock seams to reduce chafing, high breathability (8,000 g/m²/24h). Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
40,chocolate,S,52.89,"Aurora Threads polo shirt made from hemp-cotton blend (200 GSM), regular fit. Key features: hidden zip pocket, drop-tail hem for cycling, anti-odor treatment. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
41,mustard,S,52.94,"Nimbus Apparel long-sleeve tee made from polyester microfiber (140 GSM), relaxed fit. Key features: packable design fits into pocket, hidden zip pocket, fully waterproof shell (10,000 mm). Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
42,green,S,203.33,"Cobalt Studio base layer top made from recycled polyester (160 GSM), athletic fit. Key features: elasticated cuffs and hem, packable design fits into pocket, drop-tail hem for cycling. Designed for layering under a jacket. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
43,tan,L,122.52,"Solace Co. quarter-zip made from softshell (polyester + elastane) (160 GSM), tapered silhouette. Key features: quick-dry fabric, moisture-wicking knit, hidden zip pocket. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
44,maroon,M,92.53,"Summit Apparel softshell jacket made from cotton-polyester blend (60/40) (200 GSM), relaxed fit. Key features: YKK zipper, UPF 50+ sun protection, anti-odor treatment. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
45,burnt orange,XL,126.16,"Aurora Threads long-sleeve tee made from nylon ripstop (180 GSM), oversized cut. Key features: water-repellent DWR finish (PFC-free), reinforced shoulder panels, YKK zipper. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
46,orange,L,215.29,"Polar Studio windbreaker made from tech fleece (polyester) (200 GSM), oversized cut. Key features: elasticated cuffs and hem, quick-dry fabric, reflective detailing for visibility. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
47,forest green,XS,108.44,"Vivid Supply polo shirt made from cotton-polyester blend (60/40) (240 GSM), oversized cut. Key features: recycled trims and labels, water-repellent DWR finish (PFC-free), YKK zipper. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
48,black,XS,166.83,"Cinder Collective softshell jacket made from 100% cotton jersey (180 GSM), slim fit. Key features: YKK zipper, flatlock seams to reduce chafing, anti-odor treatment. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
49,brown,L,83.0,"Polar Co. hoodie made from softshell (polyester + elastane) (240 GSM), regular fit. Key features: recycled trims and labels, fully waterproof shell (10,000 mm), taped critical seams. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
50,white,XS,237.41,"Momentum Wear base layer top made from cotton-polyester blend (60/40) (200 GSM), relaxed fit. Key features: UPF 50+ sun protection, reflective detailing for visibility, windproof membrane. Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
51,beige,M,195.39,"Echo Labs base layer top made from tech fleece (polyester) (140 GSM), tapered silhouette. Key features: windproof membrane, 4-way stretch, brushed interior for warmth. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
52,orange,XL,174.79,"Vivid Athletics windbreaker made from polyester microfiber (240 GSM), regular fit. Key features: reinforced shoulder panels, quick-dry fabric, windproof membrane. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
53,lavender,XS,202.13,"Nova Wear sweatshirt made from bamboo viscose blend (140 GSM), athletic fit. Key features: taped critical seams, high breathability (8,000 g/m²/24h), packable design fits into pocket. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
54,charcoal,L,208.14,"Atlas Athletics sweatshirt made from rayon-modal mix (240 GSM), athletic fit. Key features: UPF 50+ sun protection, drop-tail hem for cycling, 4-way stretch. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
55,maroon,XL,204.89,"Summit Collective polo shirt made from nylon ripstop (180 GSM), tapered silhouette. Key features: reinforced shoulder panels, moisture-wicking knit, flatlock seams to reduce chafing. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
56,silver,L,75.09,"Urban Labs base layer top made from rayon-modal mix (200 GSM), athletic fit. Key features: flatlock seams to reduce chafing, water-repellent DWR finish (PFC-free), reflective detailing for visibility. Designed for trail running. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
57,red,M,202.5,"Quartz Co. base layer top made from tech fleece (polyester) (160 GSM), slim fit. Key features: recycled trims and labels, water-repellent DWR finish (PFC-free), packable design fits into pocket. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
58,tan,L,131.37,"Solace Collective rain jacket made from tech fleece (polyester) (200 GSM), athletic fit. Key features: hidden zip pocket, water-repellent DWR finish (PFC-free), high breathability (8,000 g/m²/24h). Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
59,beige,S,89.43,"Nova Outfitters polo shirt made from bamboo viscose blend (240 GSM), oversized cut. Key features: taped critical seams, drop-tail hem for cycling, recycled trims and labels. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
60,green,M,89.52,"Solace Apparel windbreaker made from polyester microfiber (240 GSM), slim fit. Key features: windproof membrane, recycled trims and labels, 4-way stretch. Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
61,forest green,M,185.65,"Cobalt Labs pullover made from organic cotton (140 GSM), relaxed fit. Key features: brushed interior for warmth, quick-dry fabric, taped critical seams. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
62,beige,XL,48.11,"Aurora Wear quarter-zip made from merino wool (18.5 microns) (180 GSM), tapered silhouette. Key features: UPF 50+ sun protection, reflective detailing for visibility, windproof membrane. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
63,forest green,L,120.31,"Echo Wear pullover made from softshell (polyester + elastane) (240 GSM), regular fit. Key features: high breathability (8,000 g/m²/24h), YKK zipper, reflective detailing for visibility. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
64,pink,XS,53.9,"Nova Co. hoodie made from polyester microfiber (200 GSM), regular fit. Key features: recycled trims and labels, drop-tail hem for cycling, quick-dry fabric. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
65,green,M,216.84,"Polar Co. base layer top made from hemp-cotton blend (180 GSM), regular fit. Key features: elasticated cuffs and hem, windproof membrane, anti-odor treatment. Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
66,pink,XS,55.12,"Echo Studio hoodie made from cotton-polyester blend (60/40) (160 GSM), regular fit. Key features: drop-tail hem for cycling, hidden zip pocket, reflective detailing for visibility. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
67,orange,XXL,84.03,"Urban Apparel rain jacket made from polyester microfiber (160 GSM), slim fit. Key features: reinforced shoulder panels, anti-odor treatment, drop-tail hem for cycling. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
68,magenta,S,227.93,"Cinder Apparel t-shirt made from cotton-polyester blend (60/40) (200 GSM), slim fit. Key features: elasticated cuffs and hem, reinforced shoulder panels, brushed interior for warmth. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
69,beige,M,179.94,"Harbor Studio quarter-zip made from softshell (polyester + elastane) (220 GSM), athletic fit. Key features: high breathability (8,000 g/m²/24h), fully waterproof shell (10,000 mm), drop-tail hem for cycling. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
70,maroon,XS,40.01,"Nova Labs t-shirt made from lyocell (TENCEL) blend (220 GSM), tapered silhouette. Key features: moisture-wicking knit, reinforced shoulder panels, fully waterproof shell (10,000 mm). Designed for layering under a jacket. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
71,magenta,L,229.7,"Echo Labs long-sleeve tee made from rayon-modal mix (180 GSM), athletic fit. Key features: high breathability (8,000 g/m²/24h), reflective detailing for visibility, taped critical seams. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
72,pink,XS,216.28,"Quartz Athletics windbreaker made from softshell (polyester + elastane) (180 GSM), slim fit. Key features: YKK zipper, recycled trims and labels, fully waterproof shell (10,000 mm). Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
73,maroon,M,45.66,"Vivid Studio t-shirt made from rayon-modal mix (180 GSM), oversized cut. Key features: hidden zip pocket, drop-tail hem for cycling, fully waterproof shell (10,000 mm). Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
74,lavender,L,162.84,"Aurora Threads pullover made from bamboo viscose blend (240 GSM), relaxed fit. Key features: brushed interior for warmth, hidden zip pocket, reflective detailing for visibility. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
75,lavender,S,182.25,"Falcon Studio t-shirt made from bamboo viscose blend (240 GSM), athletic fit. Key features: high breathability (8,000 g/m²/24h), quick-dry fabric, windproof membrane. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
76,gray,S,133.63,"Falcon Studio windbreaker made from merino wool (18.5 microns) (160 GSM), athletic fit. Key features: reflective detailing for visibility, elasticated cuffs and hem, quick-dry fabric. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
77,mustard,S,231.03,"Cobalt Supply hoodie made from merino wool (18.5 microns) (240 GSM), athletic fit. Key features: flatlock seams to reduce chafing, packable design fits into pocket, moisture-wicking knit. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
78,orange,XL,152.38,"Drift Supply polo shirt made from bamboo viscose blend (200 GSM), athletic fit. Key features: taped critical seams, flatlock seams to reduce chafing, recycled trims and labels. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
79,burnt orange,S,244.58,"Solace Labs long-sleeve tee made from polyester microfiber (200 GSM), athletic fit. Key features: fully waterproof shell (10,000 mm), flatlock seams to reduce chafing, reflective detailing for visibility. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
80,pink,XXL,244.59,"Drift Wear softshell jacket made from bamboo viscose blend (200 GSM), oversized cut. Key features: flatlock seams to reduce chafing, windproof membrane, hidden zip pocket. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
81,black,XXL,52.16,"Cinder Apparel polo shirt made from lyocell (TENCEL) blend (200 GSM), slim fit. Key features: flatlock seams to reduce chafing, YKK zipper, high breathability (8,000 g/m²/24h). Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
82,burnt orange,XXL,184.31,"Drift Studio t-shirt made from hemp-cotton blend (200 GSM), regular fit. Key features: quick-dry fabric, brushed interior for warmth, elasticated cuffs and hem. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
83,blue,XXL,180.89,"Atlas Collective softshell jacket made from tech fleece (polyester) (180 GSM), slim fit. Key features: water-repellent DWR finish (PFC-free), fully waterproof shell (10,000 mm), flatlock seams to reduce chafing. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
84,yellow,L,52.48,"Cobalt Athletics base layer top made from rayon-modal mix (220 GSM), relaxed fit. Key features: 4-way stretch, elasticated cuffs and hem, high breathability (8,000 g/m²/24h). Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
85,pink,S,133.46,"Nova Supply lightweight jacket made from softshell (polyester + elastane) (200 GSM), tapered silhouette. Key features: moisture-wicking knit, hidden zip pocket, elasticated cuffs and hem. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
86,silver,M,174.85,"Echo Apparel polo shirt made from recycled polyester (160 GSM), oversized cut. Key features: brushed interior for warmth, drop-tail hem for cycling, moisture-wicking knit. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
87,mustard,L,43.53,"Vivid Labs sweatshirt made from hemp-cotton blend (220 GSM), slim fit. Key features: brushed interior for warmth, water-repellent DWR finish (PFC-free), YKK zipper. Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
88,charcoal,XXL,198.01,"Aurora Labs windbreaker made from softshell (polyester + elastane) (220 GSM), slim fit. Key features: quick-dry fabric, taped critical seams, elasticated cuffs and hem. Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
89,maroon,XXL,192.78,"Cinder Apparel rain jacket made from rayon-modal mix (240 GSM), regular fit. Key features: brushed interior for warmth, hidden zip pocket, fully waterproof shell (10,000 mm). Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
90,royal blue,XS,228.21,"Quartz Athletics softshell jacket made from polyester microfiber (160 GSM), relaxed fit. Key features: recycled trims and labels, taped critical seams, packable design fits into pocket. Designed for gym sessions. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
91,maroon,L,241.5,"Falcon Outfitters hoodie made from softshell (polyester + elastane) (140 GSM), regular fit. Key features: UPF 50+ sun protection, quick-dry fabric, YKK zipper. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
92,chocolate,L,22.2,"Summit Apparel polo shirt made from recycled polyester (140 GSM), tapered silhouette. Key features: moisture-wicking knit, reinforced shoulder panels, YKK zipper. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
93,pink,S,127.44,"Frontier Studio sweatshirt made from hemp-cotton blend (140 GSM), relaxed fit. Key features: high breathability (8,000 g/m²/24h), hidden zip pocket, brushed interior for warmth. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
94,royal blue,XS,236.64,"Falcon Collective hoodie made from organic cotton (240 GSM), relaxed fit. Key features: recycled trims and labels, UPF 50+ sun protection, YKK zipper. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
95,tan,XXL,236.57,"Polar Labs windbreaker made from tech fleece (polyester) (180 GSM), relaxed fit. Key features: drop-tail hem for cycling, windproof membrane, reflective detailing for visibility. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
96,white,XXL,104.22,"Urban Collective lightweight jacket made from recycled polyester (180 GSM), regular fit. Key features: taped critical seams, recycled trims and labels, elasticated cuffs and hem. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
97,red,XS,237.27,"Urban Apparel rain jacket made from polyester microfiber (160 GSM), tapered silhouette. Key features: elasticated cuffs and hem, water-repellent DWR finish (PFC-free), fully waterproof shell (10,000 mm). Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
98,chocolate,XL,66.2,"Summit Threads base layer top made from polyester microfiber (160 GSM), relaxed fit. Key features: flatlock seams to reduce chafing, UPF 50+ sun protection, water-repellent DWR finish (PFC-free). Designed for trail running. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
99,teal,M,202.66,"Atlas Wear softshell jacket made from 100% cotton jersey (180 GSM), slim fit. Key features: quick-dry fabric, reinforced shoulder panels, flatlock seams to reduce chafing. Designed for trail running. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
100,white,S,189.6,"Cobalt Apparel windbreaker made from organic cotton (200 GSM), athletic fit. Key features: hidden zip pocket, taped critical seams, packable design fits into pocket. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
